nodeId:ID,location,centroid,lng,lat,:LABEL
南京_云锦路地铁站_10,"[[118.7341584, 32.0299846], [118.7439029, 32.0291611], [118.7472463, 32.0288196], [118.7512811, 32.031213], [118.7552084, 32.0340429], [118.7554124, 32.0353623], [118.7536867, 32.0386002], [118.7474862, 32.0455412], [118.7452203, 32.0472139], [118.7447671, 32.0475292], [118.7446181, 32.0476224], [118.7437869, 32.0480639], [118.7430211, 32.0482082], [118.73846069531254, 32.04575230480539], [118.7336878, 32.0439613], [118.7316395, 32.0417878], [118.728925, 32.0366454], [118.7288865, 32.0364071], [118.7300705, 32.0337972], [118.7341584, 32.0299846]]","(118.74198153593396, 32.03749229184884)",118.74198153593396,32.03749229184884,staion_isochrone
南京_云锦路地铁站_5,"[[118.7342747, 32.0337399], [118.7453714, 32.03221], [118.7492824, 32.0335682], [118.7509259, 32.0350118], [118.7509856, 32.0351749], [118.7484953, 32.0399559], [118.7424674, 32.0428401], [118.7384415, 32.043161], [118.7360911, 32.0415914], [118.73308970779547, 32.037040573186836], [118.7322757, 32.0364482], [118.7323218, 32.0361637], [118.7335692, 32.0343609], [118.7342747, 32.0337399]]","(118.74165746919165, 32.037317559701485)",118.74165746919165,32.037317559701485,staion_isochrone
南京_五塘广场地铁站_10,"[[118.7668375, 32.102617], [118.76954772375922, 32.10260142419641], [118.7787679, 32.1012787], [118.7803994, 32.1031538], [118.7819637, 32.115418], [118.7818881, 32.1156804], [118.7769544, 32.1175814], [118.771802, 32.1194082], [118.7702052, 32.1198234], [118.7623625, 32.1205282], [118.7626834, 32.1039719], [118.7630953, 32.1036852], [118.7668375, 32.102617]]","(118.77157709444681, 32.110788886871745)",118.77157709444681,32.110788886871745,staion_isochrone
南京_五塘广场地铁站_5,"[[118.7645793, 32.1062992], [118.7649104, 32.106049], [118.7685996, 32.1060046], [118.77252423977377, 32.10625906938131], [118.7764602, 32.1055689], [118.7766039, 32.1056279], [118.7771346, 32.1139341], [118.7769297, 32.1163777], [118.7734651, 32.1173104], [118.7647999, 32.1180915], [118.7640458, 32.1178445], [118.7643734480918, 32.11721054294415], [118.7653508, 32.1074513], [118.7645793, 32.1062992]]","(118.77075437741246, 32.111853747414216)",118.77075437741246,32.111853747414216,staion_isochrone
南京_仙新路地铁站_10,"[[118.8833433, 32.121382], [118.8857925, 32.1208336], [118.8923625, 32.1223343], [118.8942146, 32.1229686], [118.8987872, 32.1247795], [118.8993876, 32.1257106], [118.9002492, 32.1329422], [118.8879339, 32.1378363], [118.8861035, 32.1366212], [118.88518671356911, 32.13560085466011], [118.8834242, 32.135483], [118.8824413, 32.1350162], [118.8790779, 32.130161], [118.8782635, 32.1235859], [118.8783127, 32.1230936], [118.8786975, 32.1224701], [118.8833433, 32.121382]]","(118.88894887294876, 32.128805333074396)",118.88894887294876,32.128805333074396,staion_isochrone
南京_仙新路地铁站_5,"[[118.8818476, 32.1243657], [118.8819192, 32.1242753], [118.8945928, 32.1288304], [118.8933927, 32.1306357], [118.8913271, 32.1329159], [118.8908172, 32.1334787], [118.8832102, 32.1316517], [118.883179, 32.1315563], [118.8823836, 32.1289742], [118.8823539, 32.1288698], [118.8818476, 32.1243657]]","(118.88747104102217, 32.129237413789774)",118.88747104102217,32.129237413789774,staion_isochrone
南京_仙林中心地铁站_10,"[[118.9129186, 32.0989141], [118.9194433, 32.0924587], [118.9250436, 32.0926026], [118.9327771, 32.097681], [118.9356353, 32.1024399], [118.9366481, 32.1048255], [118.9355313, 32.1067429], [118.9310719, 32.1089559], [118.9284486, 32.1095157], [118.9261909, 32.1096049], [118.923936, 32.1095991], [118.9211803, 32.1088375], [118.9200391, 32.1081908], [118.9140637, 32.1031654], [118.9134778, 32.1025164], [118.9128359, 32.0999938], [118.9129186, 32.0989141]]","(118.92454894339748, 32.10141776988562)",118.92454894339748,32.10141776988562,staion_isochrone
南京_仙林中心地铁站_5,"[[118.9174339, 32.0959577], [118.9255135, 32.0943165], [118.9271797, 32.096021], [118.9273296, 32.0961864], [118.9334822, 32.104733], [118.933704, 32.105168], [118.9264583, 32.1059428], [118.9228596, 32.1066207], [118.9225226, 32.1065255], [118.9209454, 32.1059091], [118.9197976, 32.1049796], [118.9171509, 32.101746], [118.917257, 32.096218], [118.9174339, 32.0959577]]","(118.92422116316212, 32.10083928421105)",118.92422116316212,32.10083928421105,staion_isochrone
南京_仙林湖地铁站_10,"[[118.9821211, 32.1201924], [118.9878402, 32.1195304], [118.9955895, 32.1227993], [118.999255, 32.1266096], [118.9977403, 32.1315665], [118.9962933, 32.1326045], [118.9919243, 32.1344151], [118.9847256, 32.1360987], [118.98434106950245, 32.13593564520514], [118.9819269, 32.1372742], [118.9805236, 32.1371213], [118.9804381, 32.137102], [118.9781826, 32.1341607], [118.9768617, 32.1307163], [118.97699033736214, 32.12937872449083], [118.9743729, 32.1258252], [118.9787901, 32.1213992], [118.9821211, 32.1201924]]","(118.98660265768228, 32.12796416024861)",118.98660265768228,32.12796416024861,staion_isochrone
南京_仙林湖地铁站_5,"[[118.9807025, 32.1307828], [118.98063676059796, 32.12858166346966], [118.9794287, 32.126893], [118.9794727, 32.1256698], [118.9794872, 32.1254563], [118.9809212, 32.1236312], [118.9874803, 32.1213883], [118.9876157, 32.1214079], [118.9911881, 32.1225747], [118.9961586, 32.1284736], [118.9961487, 32.1287454], [118.9921688, 32.1315955], [118.9839045, 32.1329228], [118.9837054, 32.1328711], [118.9823225, 32.1322291], [118.980919, 32.1313819], [118.9807025, 32.1307828]]","(118.9871642359378, 32.12736191427599)",118.9871642359378,32.12736191427599,staion_isochrone
南京_仙鹤门地铁站_10,"[[118.9033544, 32.0768206], [118.9035425, 32.0767882], [118.9060469, 32.0791697], [118.9062216, 32.0797987], [118.90689714999583, 32.08232090245183], [118.9127161, 32.0935605], [118.9083627, 32.0945153], [118.89943667819168, 32.094775430973556], [118.8974216, 32.0950774], [118.8958756, 32.0951811], [118.8958016, 32.0951821], [118.8930016, 32.0950426], [118.8883206, 32.0861208], [118.8873553, 32.0834971], [118.8904595, 32.079352], [118.8908433, 32.0791793], [118.8976095, 32.0778403], [118.9033544, 32.0768206]]","(118.89945424584228, 32.08665443500686)",118.89945424584228,32.08665443500686,staion_isochrone
南京_仙鹤门地铁站_5,"[[118.8916888, 32.0819401], [118.9021247, 32.0801559], [118.9026931, 32.0803643], [118.90716789019108, 32.089758305124235], [118.9079182, 32.0907765], [118.9077611, 32.0909553], [118.90669821469548, 32.09095605632896], [118.89876, 32.0920407], [118.8951799, 32.0893738], [118.8912338, 32.0824815], [118.8916888, 32.0819401]]","(118.89960034455346, 32.08613376981732)",118.89960034455346,32.08613376981732,staion_isochrone
南京_信息工程大学地铁站_10,"[[118.7097398, 32.2021437], [118.7187529, 32.1941495], [118.72045640019924, 32.19642945579812], [118.7221956, 32.1966491], [118.7273702, 32.1994021], [118.7335781, 32.2038953], [118.733331, 32.204385], [118.7246436, 32.2139168], [118.7244367, 32.2140629], [118.7146882, 32.2094847], [118.7134257, 32.2088205], [118.7118057, 32.207551], [118.709685, 32.2055958], [118.7086976, 32.204287], [118.7084961, 32.2038111], [118.7091179, 32.2028145], [118.7097398, 32.2021437]]","(118.72086637119469, 32.20433885448078)",118.72086637119469,32.20433885448078,staion_isochrone
南京_信息工程大学地铁站_5,"[[118.7188965, 32.1996742], [118.7199782, 32.1994746], [118.7240083, 32.2011833], [118.7254175, 32.2036191], [118.7264545, 32.2068678], [118.7254686, 32.2100134], [118.7232935, 32.2105562], [118.7170358, 32.2098321], [118.7152751, 32.208344], [118.7137422, 32.206576], [118.7132391, 32.2056366], [118.7136698, 32.2049442], [118.7188965, 32.1996742]]","(118.72033798637457, 32.2054978607439)",118.72033798637457,32.2054978607439,staion_isochrone
